sha,title,reason,type,confidence
0963e8d016e70cbdbe8120f603688205dc14f5e5,Fix test dependencies by updating to Java 17 and manually implementing Lombok methods,"The commit primarily addresses issues caused by dependencies, specifically removing Lombok and other problematic dependencies to resolve test execution problems and ensure compatibility with Java 17. This indicates the main motivation is to fix unwanted dependencies.",dependency,9
32d779a2849b6f99ac14c50d33df683a7813d687,Add new inventory items,"The commit involves extensive refactoring such as changing attribute types, moving and renaming methods and attributes, extracting classes and variables, and modifying access modifiers. These changes indicate an effort to improve the structure and organization of the code to make it easier to maintain and less fragile over time.",maintainability,9
652853b1dcd242d080855eda0983b8a62a845e4c,Introduce service interfaces,"The commit introduces service interfaces and performs extensive refactoring such as changing types, extracting classes and subclasses, moving methods and attributes, and renaming variables. These changes primarily aim to improve the maintainability of the codebase by organizing and structuring the code better, making it less fragile and easier to manage in the future.",maintainability,9
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Update Java Rosetta outputs,"The commit involves extensive type changes, method moves, and class extraction which are typical refactorings aimed at improving the structure and robustness of the code, making it easier to maintain and less fragile over time.",maintainability,8
ac2a114e0120f5dfd831948809e897a8dc2c1d8a,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily adds and modifies Swagger annotations to improve the documentation and clarity of the code, which enhances the understandability and readability of the codebase.",readability,8
da0fa2ab38c66845ae6881885a03d23362e4b66d,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8
8f4fa1a1198c67e306b0fdb22323a8a97fec8a2e,add verbose field to discord config,"The commit involves extensive refactoring by changing types of attributes, parameters, return values, and variables, which typically aims to improve the maintainability and robustness of the codebase rather than addressing readability, duplication, or performance directly.",maintainability,8
a15fad8a0e655af0152feab460c144d42d3b3be4,Update Java machine outputs,"The commit involves extensive type changes and renaming, which typically aim to improve the structure and clarity of the code, making it easier to understand and work with. Regenerating outputs and trimming trailing spaces also suggest efforts to clean up the code for better readability.",readability,8
af50ec9436e9477ab6b5a150ebd17a37f6a14ddc,Building MergeEats with Cursor AI,"The commit involves extensive refactoring including renaming, changing types, adding annotations, and extracting methods and classes, which primarily improves the structure and clarity of the code, making it easier to maintain and less fragile over time.",maintainability,9
7589e30369094469018f9fbf48bb1da08c3b8bd0,Rename mod to avoid ID conflict,"The commit involves renaming a module and moving classes extensively to avoid ID conflicts, which primarily addresses issues related to maintainability by preventing conflicts and improving the structure of the codebase.",maintainability,8
117a9f7d7e2429f78e278b423428a46710fe62af,chore(test): Migrate ldap plugin tests to junit5.,"The commit focuses on migrating tests from one testing framework to another (JUnit5), which improves the ability to test the code effectively without changing the production code itself. This directly addresses testability by making tests easier to write, maintain, and run.",testability,9
8ad706e104ca26715b9b76ab9c64154baab516a5,Update Java Rosetta outputs,"The commit involves extensive type changes, method moves, renaming, and class extraction, which are typical refactorings aimed at improving the structure and maintainability of the codebase rather than addressing performance, duplication, or readability alone. These changes suggest an effort to make the code easier to maintain and evolve.",maintainability,8
13ed3dd98332d1d7261fce571196c2457d26c541,feat(swagger): Add Swagger annotations to Batch 1 - Core Authentication & User Management,"The commit primarily adds and modifies Swagger annotations extensively, which improves the understandability and clarity of the code by providing better documentation and making the code easier to read and comprehend. This directly addresses readability issues.",readability,8
77067419df628053d0b96c38b52568135a8022d0,Building MergeEats with Cursor AI,"The commit involves extensive refactoring including extracting classes and methods, renaming many elements, changing types, and modifying annotations, all of which indicate efforts to improve the structure and robustness of the codebase, making it easier to maintain and less fragile.",maintainability,9
97620888fc9fa40eb3374bcdff2a8bf1a7616867,Documentación,"The commit primarily adds annotations and documentation to the code, which improves the understandability and clarity of the codebase, addressing issues related to readability.",readability,9
87fc2b21482ce5c9519166c787945739bb892fcc,Building MergeEats with Cursor AI,"The commit involves extensive refactoring including renaming, changing types, adding and removing annotations, and encapsulating attributes, which primarily improves the structure and clarity of the code, making it easier to maintain and less fragile.",maintainability,8
23507a1d9754fbb12c216240b6c5a220def570e8,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8
f3373bc48b957c1d3119c254e1a5e6089a6c3b4e,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8
b68f87285d73407ee76d4a7cca02455006248fca,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily involves adding and modifying Swagger annotations to improve the clarity and understandability of the code's API documentation, which enhances code readability for developers and users of the API.",readability,8
55b19932a1a0bad9e9afaf5cb4d3a7bd4b9b5be8,Rename parser variables,"The commit focuses on renaming variables to camelCase, which primarily improves the readability of the code by making variable names more consistent and easier to understand.",readability,9
f674786aa3211057373f473a5ff034c47f0b3b07,Documentación,"The commit involves extensive refactoring such as moving logic to beans, renaming variables and methods, splitting methods, and modifying annotations, all aimed at improving the structure and organization of the code to make it easier to maintain and extend. This indicates a focus on improving maintainability rather than other aspects like performance or duplication.",maintainability,8
fcc810bd45051d055f722a4d9138efeecb76675a,Remove custom DI and add Spring-based DtoFactory,"The commit replaces a custom dependency injection mechanism with a Spring-based factory, indicating a motivation to reduce unwanted dependencies on custom code and leverage a standard framework, thus addressing dependency issues.",dependency,8
f7aff75a72e98ddbb61bfb01cdea073b81ffb5fb,feat: finalize Swagger annotations implementation - Batch 9 cleanup,"The commit focuses on adding and modifying Swagger annotations to improve the documentation and clarity of the code, which primarily enhances the readability and understandability of the codebase.",readability,8
d949d13304906d96a5b8ea93465c9b8d9a8b029c,Renaming the `flogger` package and the backing classes,"The commit involves renaming and moving classes and changing types extensively, which typically aims to improve the maintainability of the codebase by making the code structure clearer and more manageable.",maintainability,8
bf0aee2f54630f26872951fd245849edbfe7cda6,feat: add Swagger annotations to Batch 5 - Publishing & Distribution,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the understandability and readability of the codebase.",readability,8
47f5f764bf292d8b8de161f3f7686c96909dd7fc,Convert Java 21 code to Java 8 compatibility,"The commit involves converting code from Java 21 to Java 8 compatibility, which typically requires modernizing or adapting legacy code to an older platform version. This suggests working on old legacy code that needs modernization to maintain compatibility.",legacy_code,8
f978ca08e488f036d4db8ec1cbf34b5fda2f2c2a,Refactor item registration to RegistryObject,"The commit refactors item registration to use RegistryObject, which suggests improving the structure and organization of the code to enhance maintainability. The large number of attribute modifications indicates a systematic change to improve the code's robustness and ease of future changes rather than addressing readability, duplication, or performance directly.",maintainability,8
3b4bf8e45b10e867e7076865b962e49ab708887d,Renaming the `flogger` package and the backing classes,"The commit focuses on renaming a package and backing classes, improving code layout, and performing various refactorings such as method extraction, variable renaming, and annotation adjustments. These changes primarily aim to improve the clarity and understandability of the code, addressing inspection warnings and enhancing readability rather than performance or dependency issues.",readability,8
286233491de7faa2da27184956fb0bb6e1f0e7d5,Improve Java compiler struct inference,"The commit involves extensive changes to attribute types, parameter types, return types, and variable types, as well as renaming classes, which suggests a significant modernization or improvement of existing compiler code likely to address outdated or legacy structures in the Java compiler's struct inference mechanism.",legacy_code,8
8a70097f08c0f8c4d9f8575c85027d60911e2c6b,Refactor package structure,"The commit involves extensive restructuring of the package structure, including moving and renaming many classes and changing types and names of attributes, methods, and parameters. Such large-scale refactoring typically aims to improve the maintainability of the codebase by organizing code better and making it less fragile and easier to manage.",maintainability,9
f503471421acc99cd94f83f991cd2a1c604f35a7,Refactor pages to use Reddick naming,"The commit involves extensive renaming of variables, attributes, and parameters to follow a consistent naming convention, which primarily improves the readability and understandability of the code.",readability,9
d2bf9d5b10e34ffb168ab606dc6d09b57eef64e1,Feature/test-analysis-cui-jwt-validation,"The commit involves extensive refactoring such as adding annotations, changing variable types, inlining variables, and renaming methods, which are typical activities aimed at improving the structure and clarity of the code to make it easier to maintain. These changes do not primarily target performance, duplication, or dependencies but rather focus on improving the maintainability of the codebase.",maintainability,8
01ee38ef62b0bd27299373e75d8d515b11967008,Filtrar registros del SIR por año,"The commit focuses on filtering records by year in a query and involves extensive use of extract and inline variable refactorings, which typically improve code clarity and understanding. This suggests the primary motivation is to enhance readability rather than addressing duplication, performance, or other issues.",readability,8
7dcf26b1f175bb262d171476e3f02c946c152f58,Fix ParameterNameCheck issues,"The commit focuses on renaming parameters and variables to fix ParameterNameCheck issues, which primarily improves the clarity and understandability of the code, thus enhancing readability.",readability,9
9861ca6a4c7d60c85873057e0260293bb85db0fd,Refactor utils to reddick naming,"The commit focuses on renaming variables, parameters, and attributes to follow a specific naming style, which primarily improves code readability and understanding.",readability,9
5a0e8d2b682ce7807d6659a29a4a6a6db5f95e9e,Partially translate Dutch classes and methods to English,"The commit focuses on renaming classes, methods, variables, and parameters from Dutch to English, which primarily improves the readability and understandability of the code.",readability,9
2ca3c86814ef07a4bb078e417d8f091c1d205ba3,Documentación,"The commit focuses on adding tests, fixing issues and code smells reported by Sonar, and reconfiguring tests to address code smells. The extensive refactoring operations such as renaming variables and methods, extracting variables, and changing access modifiers indicate efforts to improve code clarity and understandability, which aligns with improving readability.",readability,8
3fffc732e7a276df7f606457c8c3f995f4a211cb,Add PDF export functionality for QC Reports and Quotations,"The commit involves moving classes to the correct folders, which is typically done to improve the organization and structure of the codebase, thereby enhancing maintainability. There is no indication of changes related to performance, duplication, or other categories.",maintainability,8
586e97b38a6e855f910397478f645b911522778e,Refactor AVM runtime stack,"The commit involves extensive renaming of attributes, parameters, and variables, as well as moving and modifying class access, which indicates an effort to improve the clarity and understandability of the code. These changes primarily target improving code readability rather than addressing duplication, performance, or other issues.",readability,8
90dd53fb60af1bedafa5fd206a2b8f38e23edf67,Refactor Swing UI with reusable helpers,"The commit focuses on refactoring the UI panels by creating reusable components and extracting/moving methods to improve code reuse and modularity, which directly addresses difficulties in reusing existing code.",reuse,9
e16676f5fc82f48070bb13a84530f68195ed811f,Remove minimessage usage,"The commit involves changing attribute, parameter, and variable types extensively, likely to remove dependencies on the minimessage library and fix placeholder imports. This suggests the primary motivation is to eliminate unwanted dependencies on other modules.",dependency,8
3a9e1b3fa5c9fb2ccfc154bb5eb8a917282959e0,Enhance Monitoring System,"The commit involves extensive refactoring including moving many classes, renaming methods and packages, extracting methods, and modifying annotations, which indicates an effort to improve the structure and organization of the codebase to make it easier to maintain and evolve. These changes primarily target improving maintainability rather than other symptoms like readability or performance.",maintainability,8
1db67ee679e8477280549992a06950c81deacec8,Remove underscores from opcode names,"The commit focuses on renaming opcode attributes by removing underscores, which primarily improves the clarity and understandability of the code, enhancing its readability.",readability,8
4847a048c9b06e19b40127c97d0c2cebff12c34f,Enhance Java compiler data class support,"The commit involves extensive changes to attribute types, return types, and variable types, which typically aim to improve the structure and robustness of the codebase, enhancing its maintainability rather than addressing readability, duplication, or performance directly.",maintainability,8
899a326759d47aa087fb7244f40d67fcebe2cc36,MySQL Database Integration with Database-Driven Dropdowns,"The commit focuses on replacing the database backend and restructuring the codebase to integrate MySQL with proper entity relationships and repositories, which modernizes and improves the maintainability of the code. The extensive refactoring and addition of new classes and annotations indicate modernization of legacy code rather than just improving readability or performance.",legacy_code,9
ad12dbfdcf8da487b2968c5691933de29d414cbc,Update packages to com.grape.grapes_ss,"The commit involves renaming and moving classes to a new package, which is typically done to improve the maintainability of the codebase by organizing code better and reducing fragility associated with poor package structure.",maintainability,8
3af3d43a7a57ee64d50e551bc04cdc42dba1d39e,Remove architectury remnants for Forge-only mod,"The commit focuses on removing remnants of architectury and fabric, which are likely old dependencies or frameworks, to streamline the codebase for a Forge-only mod. This indicates the primary motivation is to eliminate unwanted dependencies to other modules or frameworks.",dependency,9
9a2320e34b141855f0e3a02d4c2574235dcff89c,Fix Checkstyle parameter names,"The commit focuses on renaming parameters and variables to improve code clarity and understanding, which directly addresses readability issues.",readability,8
5f6da911339a0ff6036ccecb8a937ccfaaeb1b63,Feature/test-analysis-cui-jwt-validation,"The commit focuses on enhancing the test suite by migrating to a new testing framework (CUI), improving parameterized testing, and adding comprehensive security test coverage. These changes improve the ability to test the code effectively without requiring further refactoring, indicating the primary motivation is to improve testability.",testability,9
3493b50efc315abc44261cf2643bf7159b1f45b0,Fix account nav and apply Reddick naming,"The commit focuses on renaming parameters and variables extensively to apply a consistent naming convention (Reddick naming), which primarily improves the readability and understandability of the code.",readability,8
663bf58b75d2c5781c0d0cacb7757eea29680b54,Rename more decompiled names,"The commit focuses on renaming obfuscated classes, methods, variables, and parameters to improve the clarity and understandability of the code, which directly addresses readability issues.",readability,9
22d4417b50cae5b2eb43144bebbe15466c95b6b4,Improve Java compiler type inference,"The commit involves extensive changes to attribute, parameter, return, and variable types, which suggests an effort to improve the code's type inference capabilities. This kind of change typically aims to enhance maintainability by making the codebase more robust and less error-prone, rather than focusing on readability, duplication, or performance specifically.",maintainability,8
b4c377abc781bf3ca47741194007cdeccd9380de,Refatora MainView e cria views dedicadas,"The commit focuses on refactoring views to modularize listings by extracting classes, moving and renaming methods and attributes, and changing types and access modifiers. This modularization improves the structure and organization of the code, making it easier to maintain and less fragile. Therefore, the primary motivation is to improve maintainability.",maintainability,9
23aa6f2ed829f45c869ca824346d5d6c317fcb3b,Implement entry-based time tracking,"The commit involves extensive refactoring including renaming, changing types, modifying annotations, and restructuring methods and parameters to implement an entry-based time tracking model. These changes primarily improve the internal structure and organization of the code, making it easier to maintain and less fragile in the future. There is no explicit indication of performance optimization, duplication removal, or dependency changes. The focus on restructuring and encapsulation aligns best with improving maintainability.",maintainability,8
0228a33d80d197b697565f88c640bb15efbda4fd,Fix Javadoc formatting,"The commit focuses on fixing Javadoc formatting and includes many refactorings related to modifiers, annotations, method extraction, and renaming, which primarily improve the clarity and understandability of the code. These changes enhance the readability of the code and its documentation, making it easier for developers to comprehend and maintain.",readability,8
5c70c74f4c3eca4acc81593fa337ab2af95771d5,Change base package to com.project.Ambulance,"The commit involves renaming and moving packages extensively, which is typically done to modernize or reorganize old legacy code structures for better management and future development.",legacy_code,8
617844fbfabcee40490e2c9689f74697ef3d801d,Clarify method parameters,"The commit focuses on renaming method parameters to improve clarity, which directly enhances the readability of the code by making it easier to understand.",readability,9
299008b9f677bb1b4b7ac300783e6883dbd020f7,Enhance MainInfoTab layout,"The commit involves extensive changes to access modifiers, moving attributes, extracting classes, and renaming elements, all aimed at improving the structure and organization of the code. These changes primarily enhance the maintainability of the codebase by making it more modular and easier to manage.",maintainability,9
e278b6d8200218969af1bb5b5856e9b762ea928b,Refactor time tracking model,"The commit involves extensive refactoring including renaming, changing types, modifying annotations, and restructuring methods and parameters, which indicates an effort to improve the maintainability and structure of the code rather than addressing performance, duplication, or other issues.",maintainability,8
38c4941648474bdc12fab52e1ba9163b8d2a9975,[BOT] refactor(rename): Game audio methods,"The commit focuses on renaming various code elements such as methods, parameters, and variables to improve clarity and understanding, which directly addresses readability issues.",readability,9
c98ed546fef011c603a83a4087ca1be11779e4ca,Introduce matchmaking play command,"The extensive use of extract method, move method, and other refactorings indicates an effort to improve the structure and organization of the code, which primarily targets maintainability by making the codebase easier to modify and less fragile.",maintainability,8
38ca9dd645cc40e62e024fc217ba5cbddd2e9b60,Renaming the `flogger` package and the backing classes,"The commit involves renaming a package and classes, as well as changing types extensively, which suggests an effort to improve code clarity and understandability rather than addressing duplication, performance, or dependencies. Such renaming typically targets improving readability of the codebase.",readability,8
f4c773f95433686cf061f04d3697b80f330205c6,Fix packages to firedevops,"The commit involves renaming and moving classes from 'fire_devops' packages to 'firedevops', which suggests restructuring to improve code organization and maintainability rather than addressing readability, duplication, or performance directly.",maintainability,8
67134fa6b6a3634c5a94786113fecb4db0115c22,Documentación,"The commit involves improving test cases, renaming variables and methods for clarity, and refactoring methods by extracting and splitting them, which primarily enhances the ease of testing and understanding the code without changing its functionality.",testability,8
e45de01467c5b83e2f70c4b83ad85d3b3a4aa1fc,Unify search view layout,"The commit focuses on refactoring search views to share a common layout by extracting a superclass and pulling up attributes and methods, which reduces code duplication and unifies similar code structures.",duplication,9
966f4237f8893b907fee58c7666e302b05ecf5cd,Implement role based access control,"The commit introduces a role based access control system with Redis caching, involving extensive annotation additions and type changes, which primarily aims to improve the maintainability and structure of the codebase by making permission management clearer and more manageable.",maintainability,8
26ebfc34dc4bcf6ec366ea641ebf7e21b6586c1e,add verbose field to discord config,"The commit involves extensive refactoring operations such as moving classes and methods, changing access modifiers, renaming, and modifying types, which typically aim to improve the structure and maintainability of the codebase rather than addressing performance, duplication, or other issues.",maintainability,8
ea1e26b62a212c3b141a4e4ac6d47fcc1c2af27b,Develop online course management application,"The commit involves extensive refactoring including extracting classes, renaming methods and variables, changing access modifiers, and moving methods and attributes, which primarily aims to improve the maintainability and structure of the codebase rather than addressing performance, duplication, or other issues.",maintainability,9
a2e93effbf44de754c7fb44c7365e4323eb6655e,Integrate upstream changes from LINE FIDO2 server,"The commit involves extensive refactoring including moving and renaming classes and methods, changing access modifiers, extracting interfaces, and upgrading dependencies. These changes primarily aim to modernize and improve the structure of legacy code and dependencies, indicating a focus on updating old legacy code to current standards.",legacy_code,8
3e74cf0df90028e8ca6b975d01185dc5668dd659,Cursor/create java backend service folder e01a,"The commit involves extensive refactoring operations such as extracting classes and methods, moving methods, renaming variables, and modifying annotations, which are typically aimed at improving the structure and maintainability of the codebase rather than addressing performance, duplication, or other issues.",maintainability,8
5a89824a3bcf1e363f25a833fa2d2373775faffa,feat: add reusable entity management framework,"The commit introduces a reusable entity management framework and involves extensive refactoring such as extracting interfaces and superclasses, pulling up methods and attributes, and renaming elements to improve code reuse and modularity. This indicates the primary motivation is to enhance reuse of existing code components.",reuse,9
cac780920ea5d50780acabe3685e8a8f834b53e5,Migrate backend to JAX‑RS,"The commit involves migrating the backend to use JAX-RS resources, which typically involves modernizing and restructuring legacy code to a newer framework or standard. The extensive refactoring operations such as moving and renaming classes, changing method signatures, and modifying annotations indicate modernization efforts on older code rather than addressing readability, duplication, or performance directly.",legacy_code,8
b9e73a6a5fece72678002bb0b351b9a422212e93,Add Swagger support,"The commit adds numerous attribute annotations to support Swagger, which primarily improves the readability and understandability of the code by clearly documenting response fields. This does not directly address duplication, reuse, maintainability, testability, performance, dependency, or legacy code modernization.",readability,8
ad770aa0363a05ac8f84891f61558f39715a05b8,Replace all Adri1711 refs with ImmortalMan01,"The commit replaces references from one identifier to another across many instances, which suggests a refactoring to improve maintainability by unifying or updating references to a consistent identifier. This is likely to reduce confusion and potential errors, improving the maintainability of the codebase.",maintainability,8
0b3787d6adc3c72a708bdad7b766a61e6323b2bb,Rename AST inner classes,"Renaming inner classes to CamelCase improves the clarity and understandability of the code, making it easier to read and comprehend. This change primarily targets code readability rather than other aspects like performance or maintainability.",readability,8
05d4be199bbc8a3aceb946fb2fb7094fa6357eb0,Add receipt support to items,"The commit involves changing attribute access modifiers, extracting a superclass, and pulling up attributes, which are typical refactoring steps aimed at improving the structure and maintainability of the codebase. These changes help reduce fragility and improve the ease of future modifications, indicating a focus on maintainability.",maintainability,8
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,Documentación,"The commit involves extensive refactoring such as renaming, extracting methods and variables, changing types, and adding annotations, which are typical activities aimed at improving the maintainability and structure of the codebase to make it less fragile and easier to manage.",maintainability,8
2b7832827735e92e83f68fc7eb5426a1f3f1184d,Fix AST class naming,"The commit focuses on renaming inner classes to PascalCase, which improves the clarity and understandability of the code by adhering to naming conventions, thus enhancing readability.",readability,8
032263c13a3ae6136c13e38dd158ec51573b1ecb,Fix TypeNameCheck violations for parser classes,"The commit involves renaming classes and changing types extensively, which suggests an effort to improve code clarity and understandability by fixing naming violations. This primarily addresses readability issues rather than other symptoms like performance or duplication.",readability,8
e6ddf4b95b77f4c2765ee44262b66525988f4551,Fix README header and add display names to tests,"The commit focuses on improving test documentation and adding display names to tests, which enhances the clarity and understandability of the test code, thereby improving readability.",readability,8
24973afd821af66241aabce781167d26f2bc0ca6,Add OpenAPI configuration and docs,"The commit adds OpenAPI configuration and annotations to controllers, which primarily improves the readability and understandability of the code by providing clear API documentation and metadata.",readability,8
af70c934afa6600b0c5ac9b93cb30fd060aeb5d1,Refactor package structure,"The commit involves moving classes and source folders to a new package namespace, which is typically done to improve the organization and maintainability of the codebase by structuring it better and possibly reducing coupling or confusion.",maintainability,8
d67f81e76b4434d5239f397fe6bbb2e214eaebbb,Remove Lombok references,"The commit removes Lombok dependency and related annotations, which indicates an effort to eliminate an external dependency and reduce coupling on Lombok library.",dependency,9
20a244a748c693804b45a152636013b19d132122,[BOT] refactor: extract minimap and ground items,"The commit focuses on replacing magic numbers with named constants and renaming variables to improve code clarity and understandability, which directly addresses readability issues. The changes do not affect logic but make the code easier to read and maintain.",readability,9
9ba371b3d3cf790418863c453a376f57207d44e9,Fix Beastmaster notifications and spawn protection,"The commit involves extensive method extraction and moving, which typically aims to improve the structure and clarity of the code, making it easier to understand and maintain. The focus on gating chat messages and fixing a specific feature suggests improving code organization and maintainability rather than performance or testing.",maintainability,8
a732230f7eafc23a49c7bc204b563dec8dd44404,Centralize test constants and properties,"The commit focuses on refactoring tests to centralize constants and property loading, which improves the ease of testing by reducing duplication and making test setup more manageable. This directly addresses difficulties in testing without refactoring.",testability,8
fc95c1c06169e34e6b4aeedf32ba913ce66f513f,Refactor action views,"The commit focuses on unifying action views and cell renderers by refactoring code structure, such as extracting superclasses and pulling up methods and attributes, which primarily improves maintainability by making the codebase less fragile and easier to manage.",maintainability,8
daea563191184899891e1a1c66e2e8d60fa94bfc,feat: migrate Music Library API from Java 7 to Java 17,"The commit involves updating the Music Library API from Java 7 to Java 17, including dependency updates, migration of imports, and modernization of the test framework. This is a clear modernization of old legacy code to current standards and technologies, improving maintainability and compatibility.",legacy_code,9
a3e08af2e5f79d098657cfc8a303f030025b9c63,Codex/long2,"The commit involves extensive refactoring operations such as extracting superclasses, moving and renaming classes and methods, changing attribute and parameter types, and encapsulating attributes. These changes indicate an effort to improve the structure and organization of the codebase, which primarily targets improving maintainability by making the code less fragile and easier to manage.",maintainability,9
f9adbb5cef7c5590f425edbcba56fda78d60c01f,Refactor repeated logic into utilities,"The commit focuses on refactoring repeated logic into reusable utilities, which directly addresses duplicated code by unifying it into common methods and classes to avoid repetition.",duplication,9
bc30a6667a598518506f09856e6739dfedb1263b,Update package declarations to com.project.Ambulance,"The commit involves moving classes to a new package, which is typically done to improve the organization and maintainability of the codebase by grouping related classes logically and reducing package-level confusion or fragility.",maintainability,8
f3618bb6f3211a2a3cc588af13688427531a107b,Improve Java compiler output,"The commit involves extensive refactoring such as changing variable types, renaming variables, and replacing attributes with variables, which are typical actions to improve code clarity and understandability, indicating a focus on improving readability.",readability,8
3859768a5d7b258ca61a725fe812c51839063fd1,Add BusinessAccount entity and update relations,"The commit involves extensive renaming and type changes across attributes, parameters, and methods, which suggests a focus on improving the clarity and understandability of the code rather than addressing duplication, performance, or dependencies. These changes typically aim to enhance code readability.",readability,8
37aef8b1a7f78dfeea275d0461c2edb9407cf6b0,Create SupabaseHttpHelper,"The commit centralizes Supabase HTTP logic by extracting and moving methods and classes, renaming variables, and changing variable types to improve the structure and organization of the code, which primarily enhances maintainability by making the codebase easier to manage and less fragile.",maintainability,8
cc058b5139d65af2ec8a0afd00c890eb921c40c0,Codex/long2,"The commit involves extensive refactoring operations such as extracting superclasses, moving and renaming classes and methods, changing attribute and parameter types, and encapsulating attributes. These changes indicate an effort to improve the structure and organization of the codebase, which primarily targets improving maintainability by making the code less fragile and easier to manage.",maintainability,9
4a78ecc0ba22960891f8c36a174ab17de5d73d80,Switch IDs to string UUIDs,"The commit changes the type of model IDs to UUID strings, which likely improves the maintainability of the code by using a more robust and standardized identifier format, reducing potential issues with ID handling and future modifications.",maintainability,8
e05d5e730481cb72a286979a867320b175e2d656,Feature/test-analysis-cui-jwt-validation,"The commit involves extensive modifications to annotations, renaming, and parameterization primarily in test code, indicating efforts to improve the structure and clarity of tests for better maintainability rather than performance or dependency issues.",maintainability,8
781b378b10da07d15c32da202ebcb210981cc953,Update block state usage,"The commit involves extensive changes to method signatures and types, indicating a restructuring aimed at improving the code's structure and robustness, which aligns with improving maintainability rather than other symptoms like readability or performance.",maintainability,8
48120c189a602943e3aa45cdc50b4a161b1d4796,Rename deleted_at to datedelete,"The commit focuses on renaming attributes, methods, and parameters to improve clarity and understanding of the code, which primarily enhances code readability.",readability,8
dcdc9b0e01073e55684294df8b5cc5ca98ae165c,Refactor pages to use Reddick naming,"The commit focuses on renaming variables, attributes, and parameters to follow a consistent naming convention (Reddick naming), which primarily improves the readability and understandability of the code.",readability,8
0d56700c9f942ca403c558e89d0ab9ee591f4ca1,Add bean validation to DTOs,"The commit adds bean validation annotations to DTOs, which primarily improves the maintainability of the code by enforcing constraints and reducing potential errors, making the codebase more robust and easier to maintain.",maintainability,8
df5255bce01ccf884d713179d07f257aee878eb7,[Refactor] Replace deprecated MockBean usage,"The commit replaces deprecated usage of MockBean annotations, which suggests modernization and improvement of legacy code practices to maintain compatibility and reduce technical debt.",legacy_code,8
